COD_CLIENTE,DEPARTAMENTO,MODO_PAGAMENTO,COD_FILIAL,UF,QTDE,VALOR_TOTAL,DATA,MES_ANO
32018304,LUBRIFICANTES E ADITIVOS,FATURADO,81,AM,4,25339.88,2024-06-17 00:00:00,06/2024
32032322,PNEU,DEPOSITO,30,AM,20,23800,2024-06-14 00:00:00,06/2024
93001404,PNEU,FATURADO,1,MT,12,23640,2024-06-20 00:00:00,06/2024
63016479,PNEU,FATURADO,63,PA,12,23558.4,2024-06-06 00:00:00,06/2024
60000747,PNEU,FATURADO,10,MT,12,23534.52,2024-07-04 00:00:00,07/2024
38004088,PNEU,FATURADO,89,AM,150,23100,2024-06-14 00:00:00,06/2024
31039735,LUBRIFICANTES E ADITIVOS,CARTÃO,31,AM,1152,22603.2,2024-06-28 00:00:00,06/2024
35009799,PNEU,FATURADO,96,RR,150,22500,2024-07-02 00:00:00,07/2024
10004814,PNEU,FATURADO,60,PA,12,21926.52,2024-06-19 00:00:00,06/2024
60008207,PNEU,FATURADO,60,PA,15,21630,2024-06-27 00:00:00,06/2024
32003520,LUBRIFICANTES E ADITIVOS,FATURADO,32,AM,720,21600,2024-06-17 00:00:00,06/2024
56007247,PNEU,CARTÃO,56,PA,12,21600,2024-06-21 00:00:00,06/2024
97001594,PNEU,FATURADO,97,MA,10,21500,2024-06-29 00:00:00,06/2024
1263300,ELETRICA,FATURADO,32,AM,24,21384,2024-06-07 00:00:00,06/2024
1040500,PNEU,FATURADO,81,AM,10,21037,2024-06-21 00:00:00,06/2024
68002589,PNEU,FATURADO,67,PA,10,21000,2024-06-01 00:00:00,06/2024
65002271,PNEU,FATURADO,61,PA,12,20997.36,2024-06-10 00:00:00,06/2024
72002069,PNEU,FATURADO,55,PA,6,20862.96,2024-06-01 00:00:00,06/2024
28003251,ELETRICA,FATURADO,72,PA,20,20675.6,2024-07-03 00:00:00,07/2024
10005104,LUBRIFICANTES E ADITIVOS,FATURADO,10,MT,1,20500,2024-06-03 00:00:00,06/2024
10005104,LUBRIFICANTES E ADITIVOS,FATURADO,10,MT,1,20500,2024-06-27 00:00:00,06/2024
60000783,LUBRIFICANTES E ADITIVOS,FATURADO,10,MT,1,20000,2024-07-01 00:00:00,07/2024
67006061,PNEU,FATURADO,58,PA,12,19828.08,2024-06-12 00:00:00,06/2024
14014331,PNEU,OUTROS,14,MT,10,19720,2024-06-26 00:00:00,06/2024
14016249,PNEU,DEPOSITO,14,MT,10,19700,2024-07-01 00:00:00,07/2024
14014331,PNEU,DEPOSITO,14,MT,11,19602,2024-06-21 00:00:00,06/2024
63013551,PNEU,FATURADO,63,PA,30,19500,2024-06-28 00:00:00,06/2024
32010465,PNEU,FATURADO,38,AM,14,19477.22,2024-06-15 00:00:00,06/2024
55003580,PNEU,PIX,11,MT,12,19117.56,2024-06-28 00:00:00,06/2024
58001943,PNEU,DEPOSITO,58,PA,6,19080,2024-06-27 00:00:00,06/2024
40004008,PNEU,FATURADO,92,AP,10,19078,2024-07-06 00:00:00,07/2024
45000737,LUBRIFICANTES E ADITIVOS,FATURADO,54,RR,720,18900,2024-07-03 00:00:00,07/2024
32000895,ELETRICA,FATURADO,32,AM,30,18758.66,2024-06-19 00:00:00,06/2024
28024408,LUBRIFICANTES E ADITIVOS,CARTÃO,38,AM,480,18720,2024-06-10 00:00:00,06/2024
31000005,PNEU,DEPOSITO,37,AM,16,18528,2024-06-05 00:00:00,06/2024
46004822,PNEU,CARTÃO,46,AP,8,18458.48,2024-07-01 00:00:00,07/2024
28021045,PNEU,FATURADO,97,MA,10,18447,2024-07-08 00:00:00,07/2024
31039974,PNEU,FATURADO,31,AM,40,18400,2024-07-02 00:00:00,07/2024
55004805,PNEU,FATURADO,55,PA,8,18324.8,2024-06-26 00:00:00,06/2024
68006176,PNEU,CARTÃO,68,PA,6,18240,2024-06-04 00:00:00,06/2024
20004923,PNEU,FATURADO,20,MT,10,18000,2024-06-29 00:00:00,06/2024
40000476,PNEU,FATURADO,46,AP,100,17900,2024-06-06 00:00:00,06/2024
1263300,ELETRICA,FATURADO,32,AM,20,17820,2024-06-28 00:00:00,06/2024
11012506,PNEU,DEPOSITO,11,MT,9,17747.37,2024-07-01 00:00:00,07/2024
63010040,PNEU,FATURADO,63,PA,8,17720,2024-06-19 00:00:00,06/2024
28001732,LUBRIFICANTES E ADITIVOS,FATURADO,76,AP,720,17712.3,2024-06-12 00:00:00,06/2024
40010952,PNEU,CARTÃO,40,AP,9,17600.49,2024-07-03 00:00:00,07/2024
70000041,PNEU,FATURADO,20,MT,10,17572.8,2024-06-11 00:00:00,06/2024
51015863,PNEU,FATURADO,55,PA,6,17560.8,2024-06-18 00:00:00,06/2024
19000344,PNEU,PIX,12,MA,10,17544.4,2024-07-01 00:00:00,07/2024
55002258,PNEU,FATURADO,55,PA,8,17530.4,2024-06-07 00:00:00,06/2024
28003251,PNEU,FATURADO,72,PA,5,17500,2024-07-05 00:00:00,07/2024
28023186,PNEU,DEPOSITO,46,AP,8,17487.36,2024-06-19 00:00:00,06/2024
11011245,PNEU,CARTÃO,11,MT,8,17483.12,2024-07-04 00:00:00,07/2024
67004099,PNEU,FATURADO,67,PA,11,17323.35,2024-06-22 00:00:00,06/2024
32042915,PNEU,DEPOSITO,32,AM,16,17131.2,2024-06-06 00:00:00,06/2024
93011332,PNEU,CARTÃO,3,MT,8,17040,2024-06-13 00:00:00,06/2024
72001913,PNEU,FATURADO,56,PA,10,17000,2024-06-24 00:00:00,06/2024
72002069,PNEU,FATURADO,55,PA,8,16805.92,2024-06-01 00:00:00,06/2024
28024316,PNEU,FATURADO,7,MA,10,16801,2024-07-06 00:00:00,07/2024
31039974,PNEU,FATURADO,31,AM,40,16800,2024-06-06 00:00:00,06/2024
38000777,PNEU,DEPOSITO,35,RR,8,16800,2024-06-07 00:00:00,06/2024
3000800,PNEU,FATURADO,81,AM,40,16740,2024-06-26 00:00:00,06/2024
18001906,PNEU,FATURADO,1,MT,8,16720,2024-06-14 00:00:00,06/2024
55004542,PNEU,DEPOSITO,55,PA,8,16658.4,2024-06-14 00:00:00,06/2024
28011186,PNEU,FATURADO,90,PA,10,16650,2024-06-24 00:00:00,06/2024
38000777,PNEU,DEPOSITO,35,RR,8,16640,2024-06-07 00:00:00,06/2024
2937400,PNEU,FATURADO,31,AM,32,16544,2024-06-06 00:00:00,06/2024
31039974,PNEU,FATURADO,31,AM,32,16544,2024-06-06 00:00:00,06/2024
1594000,PNEU,DEPOSITO,81,AM,10,16500,2024-06-14 00:00:00,06/2024
36011875,PNEU,CARTÃO,81,AM,10,16500,2024-06-27 00:00:00,06/2024
63011926,PNEU,CARTÃO,63,PA,8,16400,2024-06-20 00:00:00,06/2024
81000266,PNEU,FATURADO,81,AM,10,16253,2024-07-01 00:00:00,07/2024
12000934,PNEU,FATURADO,97,MA,8,16169.92,2024-06-28 00:00:00,06/2024
60009645,PNEU,DEPOSITO,60,PA,9,16160.04,2024-06-28 00:00:00,06/2024
11012560,PNEU,DEPOSITO,11,MT,8,16000,2024-06-11 00:00:00,06/2024
20008434,PNEU,DEPOSITO,20,MT,10,16000,2024-07-05 00:00:00,07/2024
31013168,PNEU,DEPOSITO,48,AM,100,16000,2024-06-25 00:00:00,06/2024
36014372,PNEU,FATURADO,36,AM,100,16000,2024-06-06 00:00:00,06/2024
36014372,PNEU,FATURADO,36,AM,100,16000,2024-06-19 00:00:00,06/2024
2499200,PNEU,FATURADO,32,AM,40,15980,2024-06-10 00:00:00,06/2024
2937400,PNEU,FATURADO,31,AM,38,15960,2024-06-06 00:00:00,06/2024
55002214,PNEU,FATURADO,55,PA,8,15952.72,2024-06-11 00:00:00,06/2024
72002979,PNEU,OUTROS,55,PA,8,15950,2024-07-04 00:00:00,07/2024
28028149,PNEU,FATURADO,14,MT,6,15821.28,2024-06-26 00:00:00,06/2024
2499200,PNEU,FATURADO,32,AM,40,15820,2024-07-04 00:00:00,07/2024
28001897,PNEU,FATURADO,10,MT,10,15800,2024-06-17 00:00:00,06/2024
28001897,PNEU,FATURADO,10,MT,10,15800,2024-06-26 00:00:00,06/2024
11012506,PNEU,DEPOSITO,11,MT,8,15776,2024-06-07 00:00:00,06/2024
55002214,PNEU,FATURADO,55,PA,8,15762,2024-06-10 00:00:00,06/2024
49000416,LUBRIFICANTES E ADITIVOS,FATURADO,40,AP,50,15735,2024-06-06 00:00:00,06/2024
58006957,PNEU,CARTÃO,58,PA,8,15706.72,2024-06-28 00:00:00,06/2024
28025378,PNEU,FATURADO,97,MA,8,15600,2024-06-21 00:00:00,06/2024
51009040,PNEU,CARTÃO,10,MT,8,15600,2024-07-05 00:00:00,07/2024
97002278,PNEU,DEPOSITO,97,MA,4,15600,2024-06-21 00:00:00,06/2024
35009799,PNEU,FATURADO,35,RR,24,15599.76,2024-06-13 00:00:00,06/2024
28003251,ELETRICA,FATURADO,72,PA,20,15510,2024-07-03 00:00:00,07/2024
36014372,PNEU,FATURADO,89,AM,100,15500,2024-06-27 00:00:00,06/2024
38004088,PNEU,FATURADO,18,AM,100,15400,2024-06-29 00:00:00,06/2024
65003122,PNEU,FATURADO,56,PA,8,15400,2024-06-17 00:00:00,06/2024
35006757,PNEU,FATURADO,54,RR,12,15360,2024-06-05 00:00:00,06/2024
54005034,PNEU,FATURADO,54,RR,12,15360,2024-06-13 00:00:00,06/2024
80000303,PNEU,FATURADO,54,RR,12,15360,2024-06-10 00:00:00,06/2024
82002026,LUBRIFICANTES E ADITIVOS,FATURADO,82,AM,2,15330,2024-07-03 00:00:00,07/2024
10004978,PNEU,FATURADO,10,MT,8,15284.72,2024-07-02 00:00:00,07/2024
31012131,ELETRICA,DEPOSITO,18,AM,16,15264,2024-06-13 00:00:00,06/2024
28013399,LUBRIFICANTES E ADITIVOS,FATURADO,73,PA,200,15244,2024-07-02 00:00:00,07/2024
32023969,PNEU,FATURADO,30,AM,10,15210.1,2024-06-29 00:00:00,06/2024
58008043,PNEU,DEPOSITO,56,PA,8,15200,2024-07-09 00:00:00,07/2024
55002592,PNEU,CARTÃO,55,PA,8,15187.12,2024-06-24 00:00:00,06/2024
68002238,LUBRIFICANTES E ADITIVOS,FATURADO,73,PA,200,15122,2024-06-03 00:00:00,06/2024
72002038,PNEU,FATURADO,60,PA,24,15120,2024-06-14 00:00:00,06/2024
28024082,PNEU,FATURADO,66,PA,8,15023.2,2024-06-21 00:00:00,06/2024
39005415,PNEU,FATURADO,67,PA,10,15000,2024-06-17 00:00:00,06/2024
50007137,LUBRIFICANTES E ADITIVOS,FATURADO,96,RR,720,15000,2024-06-08 00:00:00,06/2024
35000826,PNEU,FATURADO,65,PA,8,14960,2024-06-05 00:00:00,06/2024
60006749,ELETRICA,FATURADO,72,PA,15,14950.65,2024-07-05 00:00:00,07/2024
37003560,PNEU,FATURADO,88,AM,100,14900,2024-06-03 00:00:00,06/2024
60008207,PNEU,FATURADO,60,PA,6,14880,2024-06-27 00:00:00,06/2024
32044830,PNEU,FATURADO,32,AM,12,14834.4,2024-06-29 00:00:00,06/2024
20213436,PNEU,FATURADO,14,MT,20,14800,2024-06-13 00:00:00,06/2024
46003670,LUBRIFICANTES E ADITIVOS,FATURADO,46,AP,45,14792.85,2024-06-25 00:00:00,06/2024
53007133,LUBRIFICANTES E ADITIVOS,FATURADO,32,AM,8,14632,2024-06-05 00:00:00,06/2024
22007415,PNEU,DEPOSITO,22,MT,8,14619.04,2024-06-06 00:00:00,06/2024
1594000,PNEU,DEPOSITO,81,AM,10,14500,2024-06-14 00:00:00,06/2024
2937400,PNEU,FATURADO,81,AM,28,14476,2024-07-05 00:00:00,07/2024
53010905,PNEU,FATURADO,68,PA,8,14467.68,2024-07-08 00:00:00,07/2024
10005271,PNEU,FATURADO,10,MT,8,14400,2024-06-13 00:00:00,06/2024
11011543,PNEU,FATURADO,11,MT,8,14400,2024-06-06 00:00:00,06/2024
57000313,PNEU,FATURADO,57,PA,8,14400,2024-06-07 00:00:00,06/2024
57000313,PNEU,FATURADO,57,PA,6,14367,2024-06-18 00:00:00,06/2024
36016247,PNEU,DEPOSITO,36,AM,12,14364,2024-06-14 00:00:00,06/2024
40004008,PNEU,FATURADO,92,AP,10,14294,2024-07-04 00:00:00,07/2024
28000504,PNEU,FATURADO,55,PA,6,14284.2,2024-07-03 00:00:00,07/2024
38004927,PNEU,DEPOSITO,34,AM,12,14280,2024-07-02 00:00:00,07/2024
28019367,AUTOPECAS,FATURADO,37,AM,124,14260,2024-06-10 00:00:00,06/2024
81001981,PNEU,FATURADO,32,AM,10,14240,2024-06-18 00:00:00,06/2024
90001932,PNEU,DEPOSITO,90,PA,8,14238.42,2024-07-08 00:00:00,07/2024
74001139,PNEU,FATURADO,68,PA,8,14200,2024-06-28 00:00:00,06/2024
58001943,PNEU,DEPOSITO,58,PA,5,14150,2024-06-19 00:00:00,06/2024
60001668,PNEU,FATURADO,10,MT,8,14131.52,2024-07-03 00:00:00,07/2024
82000066,AUTOPECAS,FATURADO,82,AM,200,14060,2024-07-06 00:00:00,07/2024
55000436,PNEU,CARTÃO,67,PA,8,14054.4,2024-06-15 00:00:00,06/2024
80000443,PNEU,DEPOSITO,35,RR,10,14000,2024-06-18 00:00:00,06/2024
70002540,PNEU,FATURADO,68,PA,4,13960,2024-06-21 00:00:00,06/2024
35009799,PNEU,FATURADO,96,RR,31,13950,2024-07-06 00:00:00,07/2024
10003707,PNEU,FATURADO,10,MT,8,13790.96,2024-06-05 00:00:00,06/2024
20209258,PNEU,FATURADO,14,MT,20,13782,2024-06-14 00:00:00,06/2024
61000358,PNEU,CARTÃO,11,MT,6,13680,2024-06-05 00:00:00,06/2024
81001080,PNEU,FATURADO,86,AM,20,13640,2024-06-11 00:00:00,06/2024
60000777,PNEU,CARTÃO,11,MT,8,13604.16,2024-06-04 00:00:00,06/2024
35002117,LUBRIFICANTES E ADITIVOS,FATURADO,54,RR,480,13600,2024-06-14 00:00:00,06/2024
51000443,PNEU,DEPOSITO,45,RR,30,13578,2024-07-03 00:00:00,07/2024
68003528,PNEU,DEPOSITO,68,PA,10,13561,2024-06-24 00:00:00,06/2024
68005706,LUBRIFICANTES E ADITIVOS,FATURADO,68,PA,50,13500,2024-06-03 00:00:00,06/2024
40010348,PNEU,FATURADO,37,AM,10,13458,2024-07-03 00:00:00,07/2024
40006534,PNEU,FATURADO,40,AP,50,13360,2024-06-13 00:00:00,06/2024
12000256,PNEU,CARTÃO,97,MA,8,13280,2024-06-29 00:00:00,06/2024
90002153,PNEU,CARTÃO,90,PA,8,13276.16,2024-06-17 00:00:00,06/2024
14005822,PNEU,FATURADO,52,MT,8,13157.28,2024-06-06 00:00:00,06/2024
32028817,LUBRIFICANTES E ADITIVOS,FATURADO,32,AM,480,13104,2024-06-04 00:00:00,06/2024
14015886,PNEU,FATURADO,14,MT,20,13080,2024-07-05 00:00:00,07/2024
60006396,PNEU,FATURADO,55,PA,8,13065.52,2024-06-29 00:00:00,06/2024
32025771,LUBRIFICANTES E ADITIVOS,FATURADO,32,AM,180,13050,2024-06-10 00:00:00,06/2024
20209258,PNEU,FATURADO,14,MT,20,12957,2024-06-14 00:00:00,06/2024
68003296,PNEU,DEPOSITO,68,PA,8,12947.68,2024-06-06 00:00:00,06/2024
46004234,LUBRIFICANTES E ADITIVOS,FATURADO,46,AP,288,12882,2024-06-24 00:00:00,06/2024
56005973,PNEU,FATURADO,56,PA,8,12872,2024-06-27 00:00:00,06/2024
32031993,PNEU,FATURADO,43,AM,12,12865.2,2024-06-25 00:00:00,06/2024
67002244,PNEU,DINHEIRO,67,PA,6,12820.5,2024-07-04 00:00:00,07/2024
35000611,PNEU,FATURADO,54,RR,10,12800,2024-06-12 00:00:00,06/2024
47000306,LUBRIFICANTES E ADITIVOS,FATURADO,54,RR,4,12800,2024-06-27 00:00:00,06/2024
40006534,PNEU,FATURADO,40,AP,40,12792,2024-06-13 00:00:00,06/2024
68004982,PNEU,DEPOSITO,90,PA,8,12788,2024-07-04 00:00:00,07/2024
93011332,PNEU,OUTROS,3,MT,6,12780,2024-06-14 00:00:00,06/2024
75000777,PNEU,FATURADO,56,PA,6,12707.4,2024-07-04 00:00:00,07/2024
32018304,LUBRIFICANTES E ADITIVOS,FATURADO,81,AM,2,12669.96,2024-06-06 00:00:00,06/2024
32018304,LUBRIFICANTES E ADITIVOS,FATURADO,81,AM,2,12669.96,2024-07-08 00:00:00,07/2024
32017813,PNEU,FATURADO,81,AM,8,12625.6,2024-06-21 00:00:00,06/2024
28011874,PNEU,PIX,65,PA,6,12621.3,2024-07-02 00:00:00,07/2024
82002026,ELETRICA,FATURADO,82,AM,16,12560,2024-07-03 00:00:00,07/2024
28002905,PNEU,FATURADO,36,AM,70,12558,2024-07-04 00:00:00,07/2024
68003296,PNEU,DEPOSITO,68,PA,8,12543.04,2024-06-06 00:00:00,06/2024
67005915,PNEU,DEPOSITO,90,PA,8,12438.64,2024-06-18 00:00:00,06/2024
2937400,PNEU,FATURADO,31,AM,24,12408,2024-06-24 00:00:00,06/2024
35015247,PNEU,DEPOSITO,35,RR,8,12400,2024-07-05 00:00:00,07/2024
28002004,PNEU,FATURADO,1,MT,4,12309.6,2024-06-24 00:00:00,06/2024
45002612,LUBRIFICANTES E ADITIVOS,FATURADO,54,RR,600,12250,2024-06-08 00:00:00,06/2024
1034993,ELETRICA,FATURADO,1,MT,50,12248.5,2024-06-19 00:00:00,06/2024
20206244,PNEU,FATURADO,4,MT,20,12218,2024-06-17 00:00:00,06/2024
1016813,ELETRICA,FATURADO,14,MT,15,12135.6,2024-06-29 00:00:00,06/2024
35002117,LUBRIFICANTES E ADITIVOS,FATURADO,54,RR,720,12000,2024-06-27 00:00:00,06/2024
28003869,ELETRICA,FATURADO,38,AM,20,11980,2024-06-18 00:00:00,06/2024
67003491,PNEU,FATURADO,68,PA,4,11940,2024-06-03 00:00:00,06/2024
89000169,PNEU,DEPOSITO,37,AM,10,11910,2024-07-01 00:00:00,07/2024
40011805,PNEU,FATURADO,40,AP,20,11870,2024-07-08 00:00:00,07/2024
32008617,PNEU,FATURADO,18,AM,30,11865,2024-06-15 00:00:00,06/2024
32008617,PNEU,FATURADO,32,AM,30,11865,2024-06-06 00:00:00,06/2024
32008617,PNEU,FATURADO,32,AM,30,11865,2024-06-27 00:00:00,06/2024
66800127,PNEU,DEPOSITO,71,PA,7,11841.2,2024-06-20 00:00:00,06/2024
32004059,PNEU,FATURADO,18,AM,10,11841,2024-07-01 00:00:00,07/2024
40004102,PNEU,FATURADO,79,AP,4,11813,2024-06-14 00:00:00,06/2024
2001500,PNEU,FATURADO,32,AM,10,11772,2024-06-13 00:00:00,06/2024
32031691,PNEU,FATURADO,82,AM,8,11768,2024-06-21 00:00:00,06/2024
58002471,PNEU,DEPOSITO,58,PA,6,11729.64,2024-07-02 00:00:00,07/2024
68006482,PNEU,CARTÃO,68,PA,6,11643,2024-06-12 00:00:00,06/2024
38000777,PNEU,DEPOSITO,35,RR,6,11572.8,2024-06-07 00:00:00,06/2024
36001614,PNEU,FATURADO,30,AM,10,11541,2024-06-20 00:00:00,06/2024
97002176,PNEU,DEPOSITO,97,MA,4,11384.2,2024-06-11 00:00:00,06/2024
55003778,PNEU,FATURADO,55,PA,4,11374.8,2024-06-26 00:00:00,06/2024
58003017,PNEU,CARTÃO,58,PA,4,11344.76,2024-06-20 00:00:00,06/2024
68002238,LUBRIFICANTES E ADITIVOS,FATURADO,73,PA,150,11341.5,2024-07-08 00:00:00,07/2024
35015250,PNEU,DEPOSITO,35,RR,6,11340,2024-07-08 00:00:00,07/2024
28003251,PNEU,FATURADO,72,PA,6,11286,2024-06-12 00:00:00,06/2024
55001979,PNEU,FATURADO,55,PA,6,11232.6,2024-07-08 00:00:00,07/2024
38000777,PNEU,DEPOSITO,35,RR,8,11200,2024-06-10 00:00:00,06/2024
61000544,PNEU,CARTÃO,11,MT,6,11159.1,2024-06-18 00:00:00,06/2024
28003436,PNEU,FATURADO,33,AM,10,11157.4,2024-06-01 00:00:00,06/2024
31036269,PNEU,DEPOSITO,81,AM,8,11120,2024-06-22 00:00:00,06/2024
14005822,PNEU,FATURADO,52,MT,12,11105.28,2024-07-02 00:00:00,07/2024
32016193,PNEU,FATURADO,37,AM,4,11040,2024-07-03 00:00:00,07/2024
35002218,PNEU,FATURADO,54,RR,7,11011,2024-06-04 00:00:00,06/2024
74006008,PNEU,DEPOSITO,74,AM,8,10998.4,2024-07-02 00:00:00,07/2024
18002270,PNEU,FATURADO,17,MT,6,10980,2024-06-13 00:00:00,06/2024
39009580,ELETRICA,FATURADO,46,AP,10,10971,2024-07-04 00:00:00,07/2024
32042915,PNEU,DEPOSITO,32,AM,28,10942.4,2024-06-06 00:00:00,06/2024
40006534,PNEU,FATURADO,40,AP,40,10924,2024-06-13 00:00:00,06/2024
7000320,ELETRICA,FATURADO,97,MA,8,10912,2024-06-03 00:00:00,06/2024
36014372,PNEU,FATURADO,36,AM,51,10898.7,2024-06-27 00:00:00,06/2024
55001979,ELETRICA,FATURADO,55,PA,10,10846,2024-06-12 00:00:00,06/2024
28003687,PNEU,FATURADO,18,AM,6,10751.22,2024-07-09 00:00:00,07/2024
32037172,PNEU,FATURADO,83,AM,12,10712.4,2024-06-22 00:00:00,06/2024
31039974,PNEU,FATURADO,31,AM,20,10700,2024-07-02 00:00:00,07/2024
55002804,PNEU,FATURADO,55,PA,6,10689,2024-06-18 00:00:00,06/2024
68002783,PNEU,FATURADO,61,PA,6,10687.56,2024-06-06 00:00:00,06/2024
60001668,PNEU,FATURADO,10,MT,6,10598.64,2024-07-03 00:00:00,07/2024
28017652,PNEU,FATURADO,54,RR,8,10560,2024-06-24 00:00:00,06/2024
35003898,PNEU,FATURADO,54,RR,8,10560,2024-07-05 00:00:00,07/2024
80000633,PNEU,FATURADO,54,RR,8,10560,2024-06-20 00:00:00,06/2024
36016247,PNEU,DEPOSITO,36,AM,8,10520,2024-06-14 00:00:00,06/2024
60001668,LUBRIFICANTES E ADITIVOS,FATURADO,10,MT,2,10500,2024-07-02 00:00:00,07/2024
74001139,PNEU,FATURADO,68,PA,6,10494.3,2024-06-19 00:00:00,06/2024
28020568,PNEU,FATURADO,6,MA,6,10488.18,2024-06-22 00:00:00,06/2024
11010896,PNEU,CARTÃO,11,MT,6,10480.02,2024-06-28 00:00:00,06/2024
32005899,PNEU,FATURADO,35,RR,5,10450,2024-06-14 00:00:00,06/2024
54005224,LUBRIFICANTES E ADITIVOS,FATURADO,96,RR,480,10440,2024-06-04 00:00:00,06/2024
90002176,PNEU,FATURADO,90,PA,4,10356.36,2024-06-24 00:00:00,06/2024
32000282,PNEU,FATURADO,32,AM,8,10308.8,2024-06-23 00:00:00,06/2024
55003354,PNEU,FATURADO,55,PA,4,10273,2024-06-07 00:00:00,06/2024
54005296,PNEU,DEPOSITO,54,RR,8,10240,2024-06-08 00:00:00,06/2024
28001375,AUTOPECAS,FATURADO,48,AM,15,10173,2024-06-01 00:00:00,06/2024
15900555,PNEU,FATURADO,97,MA,6,10126.74,2024-06-13 00:00:00,06/2024
32012093,AUTOPECAS,FATURADO,32,AM,1,10085,2024-06-15 00:00:00,06/2024
1021691,PNEU,FATURADO,14,MT,16,10080,2024-06-06 00:00:00,06/2024
28002033,LUBRIFICANTES E ADITIVOS,FATURADO,82,AM,3,10035,2024-06-06 00:00:00,06/2024
1033111,PNEU,FATURADO,17,MT,6,10000.02,2024-07-04 00:00:00,07/2024
58005182,PNEU,CARTÃO,58,PA,4,9975.44,2024-06-10 00:00:00,06/2024
32016193,PNEU,FATURADO,37,AM,4,9920,2024-07-05 00:00:00,07/2024
36014372,PNEU,FATURADO,36,AM,50,9890,2024-06-07 00:00:00,06/2024
57000965,PNEU,FATURADO,57,PA,4,9841.6,2024-06-04 00:00:00,06/2024
49,PNEU,DEPOSITO,49,AP,7,9800,2024-06-01 00:00:00,06/2024
50004127,PNEU,FATURADO,55,PA,4,9756,2024-06-15 00:00:00,06/2024
43026249,PNEU,CARTÃO,74,AM,6,9720,2024-06-27 00:00:00,06/2024
20206244,PNEU,FATURADO,4,MT,16,9714.4,2024-06-17 00:00:00,06/2024
32000895,FILTRO,FATURADO,32,AM,21,9702,2024-06-12 00:00:00,06/2024
54,PNEU,DEPOSITO,54,RR,8,9700,2024-06-18 00:00:00,06/2024
65,PNEU,DEPOSITO,65,PA,6,9666.6,2024-06-05 00:00:00,06/2024
35001645,LUBRIFICANTES E ADITIVOS,FATURADO,54,RR,3,9600,2024-06-27 00:00:00,06/2024
68001632,PNEU,FATURADO,68,PA,6,9538.8,2024-06-25 00:00:00,06/2024
74001570,PNEU,FATURADO,55,PA,4,9498,2024-06-06 00:00:00,06/2024
